## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	126819	410189249	2310254	518875	73650	76797776	56912579	0.187286	3019225352

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.150436	278928646	0	317373450
2.0	2.154726	41430904	31517337	15031263
3.0	3.031438	8904086	6820796	756402
4.0	3.796776	2583226	2053621	115944
5.0	4.464891	897697	717173	45034
6.0	5.048132	350365	273045	22966
7.0	5.557281	146711	109803	13110
8.0	6.001751	66642	46580	8194
9.0	6.389758	33022	21004	5421
10.0	6.728475	16953	9746	3718
11.0	7.024163	9424	4590	2624
12.0	7.282288	5677	2374	2097
13.0	7.507623	3771	1273	1509
14.0	7.704332	2542	697	1206
15.0	7.876053	1856	418	1009
16.0	8.025959	1336	207	785
17.0	8.156822	1060	134	688
18.0	8.27106	812	88	529
19.0	8.370787	647	56	481
20.0	8.457845	546	41	371
21.0	8.533843	452	26	297
22.0	8.600188	376	23	259
23.0	8.658104	351	14	258
24.0	8.708662	295	19	227
25.0	8.752798	217	7	171
26.0	8.791328	203	7	159
27.0	8.824962	193	6	140
28.0	8.854324	160	7	131
29.0	8.879956	130	1	120
30.0	8.902332	134	5	92
31.0	8.921866	137	5	109
32.0	8.938918	112	5	88
33.0	8.953803	98	1	92
34.0	8.966798	94	3	72
35.0	8.978142	88	2	80
36.0	8.988045	90	4	83
37.0	8.99669	64	1	61
38.0	9.004237	59	2	62
39.0	9.010825	64	2	56
40.0	9.016576	62	4	55
41.0	9.021596	55	2	53
42.0	9.025979	53	1	51
43.0	9.029805	56	0	51
44.0	9.033145	64	1	58
45.0	9.03606	45	1	40
46.0	9.038606	43	3	37
47.0	9.040828	28	1	25
48.0	9.042767	35	1	39
49.0	9.044461	42	1	34
50.0	9.045939	34	0	32
51.0	9.047229	34	1	35
52.0	9.048356	42	1	31
53.0	9.049339	32	1	30
54.0	9.050197	33	0	31
55.0	9.050947	24	0	26
56.0	9.051601	31	0	29
57.0	9.052172	27	1	27
58.0	9.052671	35	3	31
59.0	9.053106	29	1	24
60.0	9.053486	26	1	17
61.0	9.053817	24	0	25
62.0	9.054107	26	0	25
63.0	9.05436	24	2	20
64.0	9.05458	19	1	21
65.0	9.054773	24	0	15
66.0	9.054941	26	0	24
67.0	9.055088	20	1	17
68.0	9.055216	21	0	15
69.0	9.055328	24	1	23
70.0	9.055425	14	0	15
71.0	9.055511	10	0	7
72.0	9.055585	12	0	16
73.0	9.05565	6	1	6
74.0	9.055707	16	0	14
75.0	9.055756	14	0	14
76.0	9.0558	18	0	18
77.0	9.055837	18	1	15
78.0	9.05587	19	0	17
79.0	9.055899	9	0	12
80.0	9.055924	18	1	15
81.0	9.055946	14	1	16
82.0	9.055965	13	0	14
83.0	9.055982	14	0	13
84.0	9.055996	13	0	14
85.0	9.056009	12	0	13
86.0	9.05602	13	0	13
87.0	9.05603	10	1	8
88.0	9.056038	8	1	8
89.0	9.056046	16	1	15
90.0	9.056052	11	0	11
91.0	9.056058	6	0	5
92.0	9.056063	15	0	15
93.0	9.056067	7	1	7
94.0	9.056071	4	0	4
95.0	9.056074	4	0	4
96.0	9.056077	8	1	6
97.0	9.056079	11	0	10
98.0	9.056082	7	0	6
99.0	9.056083	8	1	6
100.0	9.056085	8	0	9
101.0	0	14	1	12
102.0	0	10	0	9
103.0	0	4	0	4
104.0	0	4	1	4
105.0	0	10	0	10
106.0	0	11	0	8
107.0	0	7	0	6
108.0	0	8	1	7
109.0	0	4	0	4
110.0	0	14	0	13
111.0	0	6	0	5
112.0	0	8	0	10
113.0	0	5	0	5
114.0	0	4	0	5
115.0	0	6	0	5
116.0	0	6	0	5
117.0	0	3	0	3
118.0	0	4	0	5
119.0	0	6	0	5
120.0	0	3	0	2
121.0	0	3	0	3
122.0	0	7	0	6
123.0	0	7	0	7
124.0	0	4	0	4
125.0	0	2	0	2
126.0	0	8	0	8
127.0	0	6	0	8
128.0	0	8	0	7
129.0	0	5	0	4
130.0	0	6	0	7
131.0	0	3	0	3
132.0	0	4	0	3
133.0	0	4	0	4
134.0	0	5	0	6
135.0	0	4	0	3
136.0	0	5	0	5
137.0	0	3	0	3
