chromosome,context,pos,mC,uC,coverage,N,Sx,Sx2,log_x_sum,log_1_minus_x_sum,alpha,beta,sum_mC,sum_uC,sum_cov,sum_cov2,sum_mC2,sum_uC2,Sx3,Sx4,count_zero,count_one,mean,variance
1,CG,1000007,4,361,365,33,0.30519482493400574,0.03377467021346092,-3.944304526105059e-31,1.01524073740333e-41,1.0,1.0,31119420424192,31119437201408,31119453978624,1.5375061417222e-310,1.5375069706268e-310,1.5375077995314e-310,-6.462348535570529e-27,1.01524073740333e-41,2499805184,7245,0.009248328028303204,0.0009672540112478334
1,CG,1000008,24,790,814,67,2.0638275146484375,0.3330663740634918,320864256.0,3.923635700109488e-44,0.1944154613603343,6.117078991877093,121561022464,121561088000,121561153536,6.005922221e-313,6.0059254589e-313,6.0059286968e-313,335544320.0,3.923635700109488e-44,1302396928,28,0.030803395741021457,0.004083234521038898
1,CG,1000009,4,373,377,34,0.36858975887298584,0.04931993782520294,6.80420677310221e-22,0.0,0.07379989085461448,6.733758454578277,474850816,474851072,474851328,2.346078545e-315,2.34607981e-315,2.346081075e-315,6.80511150189719e-22,0.0,474852608,0,0.010840875260970172,0.0013734576432360554
1,CG,1000010,16,812,828,69,1.2636935710906982,0.1579800546169281,2.5992643175807102e-39,0.0,0.14774367123126828,7.919333307057673,1854898,1854899,1854900,9.16443e-318,9.164434e-318,9.16444e-318,2.5992741266699605e-39,0.0,1854905,0,0.018314399581024612,0.0019828862589411933
1,CG,1000012,11,358,369,33,0.9695701599121094,0.1978829801082611,1.01524073740333e-41,-0.125,0.1288990496982594,4.258270456867569,13763000461244243021,13835058055282170957,13907115649320098893,-8589934592.013819,-562949953422217.6,-3.6893488147478454e+19,1.01524073740333e-41,-2048.0,7245,3321888768,0.029380913936730587,0.0052936288338831655
1,CG,1000013,16,795,811,67,1.1392289400100708,0.1364177018404007,3.923635700109488e-44,423624704.0,0.1432503978635949,8.281550201720904,5605574161192714268,5605855636169424924,5606137111146135580,6.318737500113452e+66,6.5293620834505665e+66,6.739986666787702e+66,3.923635700109488e-44,438304768.0,28,1305608192,0.017003417015075684,0.0017734381378449518
1,CG,1000017,11,384,395,36,1.0253067016601562,0.14044037461280823,0.0,6.810539874667069e-22,0.21947001850908263,7.486439494745791,2039522601268674560,2039523700780302336,2039524800291930112,2.413901592542084e-172,2.4142174655586426e-172,2.4145333385752014e-172,0.0,6.811444603462049e-22,0,474865152,0.02848074171278212,0.0031782536933268792
1,CG,1000018,28,807,835,69,2.0438458919525146,0.23531706631183624,0.0,2.599332981205462e-39,0.3016364886862176,9.881576346145543,7966936700813312,7966940995780608,7966945290747904,3.936196092451032e-308,3.936198214446823e-308,3.936200336442614e-308,0.0,2.5993427902947124e-39,0,1854954,0.029620954955833546,0.002570241164847726
1,CG,1000024,5,376,381,34,0.424675315618515,0.05326193943619728,-9.903520314283042e+27,1.01524073740333e-41,0.09352140283126703,7.393910946826234,31121047814144,31121064591360,31121081368576,1.53758654546895e-310,1.53758737437356e-310,1.53758820327817e-310,-1.6225927682921336e+32,1.01524073740333e-41,4127195136,7245,0.012490450459368089,0.0014532591953075064
1,CG,1000025,22,842,864,70,1.6910533905029297,0.2295335829257965,524288000.0,3.923635700109488e-44,0.18410810404765388,7.4369211051501285,121567379456,121567444992,121567510528,6.00623629814e-313,6.00623953605e-313,6.00624277396e-313,541065216.0,3.923635700109488e-44,1308753920,28,0.024157905578613283,0.002734511228835259
