chromosome,context,pos,mC,uC,coverage,N,Sx,Sx2,log_x_sum,log_1_minus_x_sum,alpha,beta,sum_mC,sum_uC,sum_cov,sum_cov2,sum_mC2,sum_uC2,Sx3,Sx4,count_zero,count_one,mean,variance,closest_distribution,ks_normal,ks_beta,ks_betabinomial,p_normal,p_beta,p_betabinomial,could_use_instead
1,CG,10469,526,254,780,57,38.513519287109375,27.69193458557129,1.1962233386155052e-38,-2.6469779601696886e-23,4.2915541995701485,2.0599450636346366,11168927075878836681,11240984669916764617,11313042263954692553,-3.473060546075524e-164,-2.2761049594760555e-159,-1.4916681462422277e-154,9.249971163008117e-42,-4.336808689942018e-19,6601,2717908992,0.6756757769668311,0.02980861638440402,beta,0.14328598872372444,0.10803317503909216,0.3785731624024236,0.3847666765596074,1.0378607600186256,3.2097053217874435e-07,True
1,CG,10470,19,15,34,3,1.7914862632751465,1.2151951789855957,3.5032461608120427e-44,-1359872.0,1.378977932450454,0.9302408889031253,14530582722734194713,14530864197710905369,14531145672687616025,-7.421688002071017e+46,-7.707137540612209e+46,-7.992587079153401e+46,3.5032461608120427e-44,-1417216.0,25,3383623680,0.5971620877583822,0.07269375090887331,beta,0.24536052646557538,0.2419135009366456,0.3378519806853921,1.9872613229697973,1.9893800234628924,1.7665611111897483,True
1,CG,10471,496,187,683,51,37.026397705078125,28.61333656311035,0.0,2.0854806517853042e-23,3.4433791783247085,1.2995164037230993,1858213133848412160,1858214233360039936,1858215332871667712,1.890908783925436e-184,1.8911960687604292e-184,1.8914833535954224e-184,0.0,2.0857633795337355e-23,0,432650752,0.7260077981387868,0.03463766184471112,normal,0.10106080533859318,0.10747832492978604,0.403921568627451,1.3496846730818781,1.195442494533736,2.3698374934396961e-07,True
1,CG,10472,26,14,40,4,2.627777576446533,1.7774382829666138,0.0,2.3682588644382998e-39,8.029232811422764,4.192856125465815,7258696593702912,7258700888670208,7258705183637504,3.5862789865208585e-308,3.5862811085166494e-308,3.5862832305124404e-308,0.0,2.36826867352755e-39,0,1690054,0.6569443941116333,0.017044845049269952,beta,0.2421129308952299,0.2156134838496322,0.4980392156862745,1.946295668173977,1.9847188731649315,0.548454299262158,True
1,CG,10484,624,84,708,53,46.80306625366211,42.102657318115234,-2097152.0,9.249971163008117e-42,5.258883005101508,0.6962994558034201,28354484895744,28354501672960,28354518450176,1.400900175965e-310,1.4009010048696e-310,1.4009018337742e-310,-34359738368.0,9.249971163008117e-42,3523215360,6601,0.8830767217672096,0.014845365426495779,beta,0.3435432436072601,0.1856609588526662,0.6277154600610247,1.4753452672650961e-05,0.10356642226659071,2.9037295493965825e-18,True
1,CG,10485,24,5,29,3,2.567307710647583,2.244915008544922,-1753088.0,3.5032461608120427e-44,3.555238579345443,0.5991974836950822,110760493056,110760558592,110760624128,5.47230516727e-313,5.47230840518e-313,5.4723116431e-313,-1810432.0,3.5032461608120427e-44,3386769408,25,0.8557692368825277,0.02394602408070523,beta,0.2911011925891218,0.24385251713450357,0.6784313725490196,1.9223875224536637,1.9882240372000441,0.25269482440610136,True
1,CG,10489,596,80,676,51,45.42509841918945,41.096500396728516,2.0874193563459754e-23,0.0,5.917263495791287,0.7262100196754621,432661248,432661504,432661760,2.137634384e-315,2.13763565e-315,2.137636913e-315,2.0877020840944066e-23,0.0,432663040,0,0.8906882042978325,0.012738021113767104,beta,0.33487319283647554,0.17602310677099176,0.664275304248086,4.309983981328326e-05,0.16962526504520523,1.135098901417944e-19,True
1,CG,10490,17,4,21,2,1.5961538553237915,1.278476357460022,2.3683261267645874e-39,0.0,27.022815315363633,6.837097656349056,1690095,1690096,1690097,8.350194e-318,8.3502e-318,8.350203e-318,2.3683359358538377e-39,0.0,1690102,0,0.7980769276618958,0.004622792527520403,beta,0.22851599148127377,0.22552106394085364,0.7372549019607844,1.9998850447800292,1.9999150631724973,0.4541372614644794,True
1,CG,10493,555,111,666,50,42.144378662109375,36.28696060180664,9.249971163008117e-42,-6.64613997892458e+35,6.316232394987181,1.1773321034092534,18158513697557846473,18230571291595774409,18302628885633702345,-5.48612406880173e+303,3.2613e-320,7.291122019567086e-304,9.251372461472442e-42,9.4039548065783e-38,6602,50331648,0.8428875732421875,0.015591582561253946,beta,0.22496780485877543,0.1844826646422839,0.6028978477603645,0.025355560702889544,0.13303702718326404,6.54744151941147e-16,True
1,CG,10494,19,10,29,3,1.990384578704834,1.3943232297897339,3.5032461608120427e-44,-2211840.0,3.352223812926889,1.700403476480999,14557885795475128345,14558167270451839001,14558448745428549657,-4.9325680259918136e+48,-5.1152557306581764e+48,-5.297943435324539e+48,3.5032461608120427e-44,-2326528.0,25,3389980672,0.6634615262349447,0.036889819703863735,normal,0.23974190056244726,0.28393629245960805,0.4980392156862745,1.9905701910537714,1.9379064792007927,0.8926763640070167,True
1,CG,10497,607,71,678,52,46.64810562133789,42.725486755371094,0.0,2.089398450584994e-23,3.9115049534580524,0.4487633762119054,1858319786476306432,1858320885987934208,1858321985499561984,1.9187754129197792e-184,1.9190626977547724e-184,1.9193499825897656e-184,0.0,2.089681178333425e-23,0,432675584,0.8970789542564979,0.017224567579110523,beta,0.44059927196167104,0.1602173471990287,0.6261214378142558,6.822851404217177e-09,0.27701699892055404,7.860956777036376e-18,True
1,CG,10498,19,1,20,2,1.9166667461395264,1.8402777910232544,0.0,2.3683947903893393e-39,10.062931813221716,0.43751833909617804,7259113205530624,7259117500497920,7259121795465216,3.586484820112582e-308,3.586486942108373e-308,3.586489064104164e-308,0.0,2.3684045994785896e-39,0,1690151,0.9583333730697632,0.0034720831447145883,beta,0.34937725537775854,0.3236144801033361,0.8980392156862745,1.935194471340317,1.9696937659338924,0.15887047389019324,True
1,CG,10525,544,34,578,46,43.517940521240234,41.539913177490234,4.547473508864641e-13,9.251372461472442e-42,4.925635135677822,0.28093515527128765,28356112285696,28356129062912,28356145840128,1.40098057971175e-310,1.40098140861635e-310,1.40098223752096e-310,7.450580596923828e-09,9.251372461472442e-42,855638016,6602,0.9460421852443529,0.008224569543163323,beta,0.5678731924277913,0.16197791290640495,0.7341038259607408,5.216068742273707e-13,0.3576458976911265,1.174692020817415e-21,True
1,CG,10526,11,0,11,1,1.0,1.0,-2998272.0,3.5032461608120427e-44,1.0,1.0,110766850048,110766915584,110766981120,5.4726192444e-313,5.4726224823e-313,5.4726257202e-313,-3112960.0,3.5032461608120427e-44,3393126400,25,1.0,0.0,normal,0.7096514669870622,0.9798192790606174,0.9798192790606174,1.3902281771295906,0.5845270138763637,0.5845270138763637,True
1,CG,10542,457,39,496,43,39.36627197265625,36.97393035888672,2.091337155145665e-23,0.0,2.2683407242410882,0.20938059034305578,432686080,432686336,432686592,2.13775707e-315,2.137758335e-315,2.1377596e-315,2.0916198828940962e-23,0.0,432687872,0,0.9154946970385175,0.022245645851045298,beta,0.5628315772516692,0.20855398742629716,0.6710461301576864,5.896084124278019e-12,0.09496291157830263,6.075053436092261e-17,True
1,CG,10543,16,2,18,2,1.7777777910232544,1.604938268661499,2.368462052715627e-39,0.0,2.6666703157994065,0.3333337671231536,1690192,1690193,1690194,8.350673e-318,8.35068e-318,8.350683e-318,2.3684718618048772e-39,0.0,1690199,0,0.8888888955116272,0.024691331533738037,beta,0.4465409983821722,0.3194191390456428,0.7585377591536236,1.6400583783051665,1.9737238623556126,0.40002530690937743,True
1,CG,10563,313,69,382,35,28.75513458251953,24.33619499206543,9.251372461472442e-42,1.4411518807585587e+17,4.932021000158481,1.071106354720404,6701356245527304650,6773413839565232586,6845471433603160522,2.6815615859924504e+154,1.7573882009960123e+159,1.1517219314047466e+164,9.251372461472442e-42,2.3611832414348226e+21,6602,1677721600,0.8215752737862724,0.02093198307855407,beta,0.2547834088430265,0.20873291281038764,0.5447971614434626,0.04252224961235648,0.1894420831024678,3.793480365238167e-09,True
